TotalPurchases,TotalSpent,MembershipLevel,LastPurchaseDate,Churn,FavoriteCategory,Customer ID
104,4993.224534345888,Silver,2023-11-05,0.0,Clothing,12522
24,595.9858406015591,Bronze,2023-01-11,1.0,Pet Supplies,19954
69,12644.70904562773,Platinum,2023-11-12,0.0,Clothing,19826
76,11265.431211325838,Platinum,,0.0,Furniture,18310
60,4743.496818454555,Silver,2023-07-03,1.0,Health & Personal Care,17229
17,5182.236128967676,Gold,2023-12-19,0.0,Pet Supplies,14103
50,6722.5130819850065,Gold,2023-10-12,0.0,Pet Supplies,10066
43,11465.057695884263,Platinum,2023-11-06,0.0,Furniture,13355
78,8991.090687195574,Gold,2023-12-16,0.0,Home and Kitchen,15126
4,9972.892875370098,Gold,2023-11-19,0.0,Health & Personal Care,10589
65,7271.923643492492,Gold,2023-11-12,0.0,Pet Supplies,14557
27,8101.928249677179,Gold,2023-10-12,0.0,Health & Personal Care,11919
29,10743.269469242827,Platinum,2023-01-05,1.0,Sports and Outdoors,15259
26,1458.6587903199213,Silver,2023-12-26,0.0,Grocery,14104
45,6094.4821392505355,Gold,2023-12-05,0.0,Office Products,18080
90,103.19897075340666,Bronze,2023-06-02,1.0,Sports and Outdoors,10684
54,11046.54927521468,Platinum,2023-12-27,0.0,Grocery,15658
22,4446.8284220430805,Silver,2023-04-14,1.0,Clothing,19675
41,4786.774754903548,Silver,2023-12-20,0.0,Grocery,10810
60,3678.4606273295763,Silver,2023-12-29,0.0,Office Products,13411
36,11904.804695236151,Platinum,2023-11-03,0.0,Pet Supplies,16717
101,8834.268904704806,Gold,2023-11-15,0.0,Grocery,10580
79,10123.885075743809,Platinum,2023-04-04,1.0,Grocery,11111
73,2333.3658120675545,Silver,2023-02-03,1.0,Electronics,13951
26,12396.624715116135,Platinum,2023-11-21,0.0,Office Products,15623
14,11815.314802085119,Platinum,2023-11-22,0.0,Health & Personal Care,14564
37,10301.816617933988,Platinum,,0.0,Grocery,17702
70,6617.120195764704,Gold,2023-07-24,1.0,Furniture,15685
27,71.64011022525183,Bronze,2023-10-09,0.0,Pet Supplies,11016
66,1260.7334340702112,Silver,2023-08-23,1.0,Grocery,14049
40,6892.478714841532,Gold,2023-08-21,1.0,Furniture,10597
14,1696.8907692647492,Silver,2023-03-24,1.0,Furniture,10318
70,2495.5652617582978,Silver,2023-01-31,1.0,Office Products,13596
66,6795.0393300324195,Gold,2023-08-23,1.0,Furniture,11951
84,7864.962287007493,Gold,2023-11-24,0.0,Health & Personal Care,11300
104,8531.928674950366,Gold,2023-12-10,0.0,Beauty,19171
82,968.0295593902046,Bronze,2023-06-29,1.0,Furniture,17002
71,3471.3540819579025,Silver,2023-02-03,1.0,Sports and Outdoors,10639
99,2630.656781173631,Silver,2023-10-31,0.0,Clothing,10817
36,7330.952534293232,Gold,,1.0,Beauty,14473
86,5077.597731338741,Gold,2023-11-28,0.0,Home and Kitchen,16375
80,11763.015231909687,Platinum,2023-12-23,0.0,Pet Supplies,11647
103,5012.36336889727,Gold,2023-11-10,0.0,Clothing,17395
103,5415.058669334102,Gold,2023-10-10,0.0,Sports and Outdoors,11455
75,8912.199875902666,Gold,2023-11-06,,Electronics,19195
84,3603.08412759565,Silver,,1.0,Grocery,16125
80,3008.1884151843856,Silver,2023-02-16,1.0,Home and Kitchen,14677
92,3021.4382268705012,Silver,2023-10-16,0.0,Electronics,18592
10,6039.934781636208,Gold,2023-11-21,0.0,Grocery,13148
4,13262.280379465605,Platinum,2023-12-29,0.0,Grocery,11228
39,4395.76518286962,Silver,2023-11-21,0.0,Pet Supplies,18705
20,6977.354484954966,Gold,2023-12-12,0.0,Beauty,12072
40,2167.489749140876,Silver,2023-03-11,1.0,Electronics,13166
23,11892.911733257333,Platinum,2023-12-24,0.0,Electronics,13810
86,1735.8908109900638,Silver,2023-04-24,1.0,Furniture,19243
96,9398.333666256925,Gold,2023-11-07,0.0,Health & Personal Care,19434
66,8072.827853235592,Gold,2023-07-16,1.0,Office Products,13943
54,4349.510787667141,Silver,2023-11-19,0.0,Electronics,18505
101,7088.133654067597,Gold,2023-12-13,0.0,Office Products,11603
58,9868.810132135673,Gold,2023-12-24,0.0,Home and Kitchen,14057
26,11414.477171985358,Platinum,2023-12-30,0.0,Pet Supplies,13741
64,11895.233807820203,Platinum,,0.0,Office Products,16729
18,10620.924238738568,Platinum,2023-11-03,0.0,Pet Supplies,17476
28,9151.835347083976,Gold,2023-12-11,0.0,Health & Personal Care,19131
51,4085.9324581833775,Silver,,1.0,Pet Supplies,13070
42,12764.481643806359,Platinum,2023-12-09,0.0,Furniture,10300
42,2346.525749914334,Silver,2023-03-05,1.0,Electronics,11417
77,8620.713419984562,Gold,2023-12-18,0.0,Clothing,10113
82,2623.9743818384504,Silver,,0.0,Home and Kitchen,14485
45,5981.523312866747,Gold,2023-12-22,0.0,Office Products,16457
85,5108.928170688988,Gold,2023-02-22,1.0,Furniture,13627
64,9611.341110938378,Gold,2023-11-08,0.0,Grocery,14609
96,5045.5574544248675,Gold,2023-11-01,0.0,Beauty,17101
87,1738.9336913291195,Silver,2023-10-07,0.0,Sports and Outdoors,15206
98,3934.123078376866,Silver,2023-01-28,1.0,Clothing,10933
21,11632.41987909992,Platinum,2023-11-15,0.0,Clothing,16293
68,11913.142170738884,Platinum,2023-02-04,1.0,Health & Personal Care,10221
86,4503.146608838359,Silver,2023-01-16,1.0,Electronics,12501
9,2418.085517759641,Silver,2023-01-20,1.0,Pet Supplies,10654
98,11636.161184369643,Platinum,2023-12-04,0.0,Office Products,16458
87,12835.493447722112,Platinum,2023-11-26,0.0,Furniture,15953
56,9470.882731782769,Gold,2023-12-02,0.0,Grocery,15069
87,8160.997896527271,Gold,2023-11-15,0.0,Furniture,17327
38,6775.573309268959,Gold,2023-12-03,0.0,Home and Kitchen,18521
95,7723.740062132711,Gold,2023-12-20,0.0,Clothing,12001
54,9397.069006340083,Gold,2023-11-12,0.0,Office Products,15543
85,6137.219644804653,Gold,2023-12-04,0.0,Furniture,18963
29,5277.551086409202,Gold,,0.0,Pet Supplies,12619
102,1286.542305950715,Silver,2023-11-17,0.0,Grocery,17059
18,7356.873682243715,Gold,2023-12-24,0.0,Furniture,12618
12,9165.118813323244,Gold,2023-10-02,0.0,Grocery,14440
70,7848.824384321317,Gold,2023-01-01,,Clothing,18178
80,3544.088710705639,Silver,2023-11-30,0.0,Office Products,19838
11,10261.73240611052,Platinum,2023-11-15,0.0,Office Products,17591
29,12508.00781435632,Platinum,2023-11-27,0.0,Electronics,18557
97,10861.825681295479,Platinum,2023-11-03,0.0,Beauty,12202
71,5172.177795746648,Gold,2023-12-05,0.0,Pet Supplies,14623
85,4329.8734891737095,Silver,2023-08-10,1.0,Sports and Outdoors,16140
20,5711.471106158951,Gold,2023-12-21,0.0,Clothing,16496
79,4109.312354987628,Silver,2023-02-15,1.0,Home and Kitchen,11009
79,12526.946814354218,Platinum,2023-12-08,0.0,Pet Supplies,14701
52,6421.5301741471785,Gold,2023-12-31,0.0,Health & Personal Care,13762
9,3396.1350671745054,Silver,,0.0,Clothing,16692
52,8222.891360107387,Gold,2023-11-30,0.0,Pet Supplies,12357
64,11613.311644755653,Platinum,2023-10-09,0.0,Office Products,15437
9,6737.621195352666,Gold,2023-11-15,0.0,Health & Personal Care,15579
28,1861.0202510288796,Silver,2023-03-26,1.0,Beauty,17678
36,12802.19093859298,Platinum,2023-06-04,1.0,Electronics,13784
7,10468.601849088302,Platinum,2023-12-17,0.0,Sports and Outdoors,16868
93,4785.452466496031,Silver,2023-05-26,1.0,Beauty,11726
14,1535.134489584211,Silver,,0.0,Office Products,14220
24,551.5787878778443,Bronze,2023-08-18,1.0,Electronics,19557
26,4946.597740408959,Silver,,,Sports and Outdoors,10291
14,200.56911689580804,Bronze,2023-05-05,1.0,Beauty,11641
101,2984.3710832308575,Silver,,1.0,Health & Personal Care,10164
86,2641.025381232673,Silver,2023-11-21,0.0,Pet Supplies,13370
68,11128.489484594656,Platinum,2023-12-08,,Health & Personal Care,11950
55,12593.87952514818,Platinum,2023-12-04,0.0,Pet Supplies,10562
12,9115.088397834243,Gold,2023-12-05,0.0,Clothing,16621
21,12479.896141347563,Platinum,2023-12-30,0.0,Pet Supplies,17855
86,10644.23036933216,Platinum,2023-11-17,0.0,Pet Supplies,17133
9,7241.823168412005,Gold,2023-11-18,0.0,Health & Personal Care,11883
42,11883.001749463861,Platinum,2023-12-08,0.0,Electronics,11699
64,12636.553531981113,Platinum,2023-11-14,0.0,Office Products,10452
104,10787.320626223278,Platinum,2023-05-20,1.0,Furniture,16812
23,1268.2421389616798,Silver,2023-10-12,0.0,Health & Personal Care,18862
23,10428.457787873356,Platinum,2023-12-15,0.0,Pet Supplies,13528
67,4649.291261922361,Silver,2023-11-21,0.0,Health & Personal Care,15166
41,3439.8110953315613,Silver,2023-07-22,1.0,Office Products,14206
12,4762.682257294864,Silver,2023-10-15,0.0,Furniture,14066
82,6979.913955511649,Gold,2023-12-31,0.0,Pet Supplies,10913
55,5016.075714609249,Gold,2023-11-19,0.0,Beauty,13250
56,975.3274844991172,Bronze,2023-09-04,1.0,Grocery,18018
74,2690.74945355963,Silver,2023-05-04,1.0,Grocery,16093
44,5020.594998651436,Gold,2023-12-02,0.0,Beauty,16351
28,8440.637999821141,Gold,2023-12-24,0.0,Grocery,18853
63,7554.6997688172805,Gold,2023-12-19,0.0,Furniture,14038
94,2226.3687883996336,Silver,,1.0,Electronics,14422
43,11300.189503626323,Platinum,2023-11-28,0.0,Office Products,11459
34,7223.6386331493895,Gold,2023-11-13,0.0,Electronics,10210
24,7584.496690550022,Gold,2023-11-19,0.0,Pet Supplies,12710
8,12573.292255078744,Platinum,2023-12-21,0.0,Electronics,16103
98,9861.659434349267,Gold,2023-11-22,0.0,Beauty,18935
60,2010.6958362026126,Silver,2023-09-27,1.0,Furniture,15641
78,5387.530845366185,Gold,2023-01-16,1.0,Clothing,12010
36,12955.219545047295,Platinum,2023-12-12,0.0,Grocery,15681
92,2171.9408893827667,Silver,2023-08-28,1.0,Office Products,13050
7,10247.228313246384,Platinum,2023-12-04,0.0,Home and Kitchen,12804
86,11919.651517677494,Platinum,,0.0,Clothing,13598
63,12182.086069510566,Platinum,2023-12-25,0.0,Electronics,17813
12,7302.5098751997775,Gold,2023-11-05,0.0,Pet Supplies,14481
81,10804.511729891157,Platinum,2023-11-14,0.0,Pet Supplies,15574
16,2405.2003698783606,Silver,2023-02-05,1.0,Office Products,15733
87,12469.01070623868,Platinum,2023-11-14,0.0,Electronics,11955
85,4977.838390226742,Silver,2023-06-21,1.0,Clothing,10138
64,3228.1677954669535,Silver,2023-01-01,1.0,Beauty,19456
104,12865.078548692487,Platinum,2023-11-28,0.0,Pet Supplies,12676
56,12956.186656438893,Platinum,2023-11-17,0.0,Clothing,14188
42,12880.271054989575,Platinum,2023-11-27,0.0,Grocery,18916
74,54.43152652173675,Bronze,2023-02-23,1.0,Health & Personal Care,15713
22,3545.9649768859817,Silver,2023-05-15,1.0,Beauty,15102
34,11602.724652099945,Platinum,2023-11-02,0.0,Office Products,14350
16,2059.6691256285644,Silver,2023-05-25,1.0,Pet Supplies,14369
17,11788.060798203569,Platinum,2023-12-22,0.0,Clothing,11370
44,11762.991287820798,Platinum,2023-12-09,0.0,Home and Kitchen,16199
49,5637.127406455588,Gold,2023-11-03,0.0,Home and Kitchen,16703
88,9042.28468125511,Gold,2023-12-07,0.0,Electronics,12531
53,8236.988227227088,Gold,2023-11-09,0.0,Sports and Outdoors,11802
14,12253.268292785662,Platinum,2023-11-04,0.0,Grocery,10245
74,13050.66117699103,Platinum,2023-12-01,0.0,Clothing,14577
92,6786.760268927797,Gold,2023-10-14,,Home and Kitchen,11239
77,136.45999554197076,Bronze,2023-09-26,1.0,Pet Supplies,18738
104,9992.150211162054,Gold,2023-06-06,1.0,Grocery,17343
93,5040.813677637777,Gold,2023-05-24,1.0,Clothing,12036
21,6029.406949768512,Gold,2023-11-11,0.0,Grocery,19534
42,10009.854110027396,Platinum,,0.0,Furniture,17912
40,11038.40034649121,Platinum,2023-11-26,0.0,Electronics,16191
97,4225.344953153816,Silver,2023-01-17,1.0,Sports and Outdoors,11626
7,12152.124823256028,Platinum,2023-11-20,0.0,Sports and Outdoors,18714
64,2242.8717753157475,Silver,2023-08-17,1.0,Pet Supplies,17885
10,5469.300943080571,Gold,2023-11-28,0.0,Health & Personal Care,19178
103,12057.615703007714,Platinum,2023-11-02,0.0,Clothing,17278
12,12308.470640167854,Platinum,2023-12-10,0.0,Office Products,18785
83,10785.980510156522,Platinum,2023-08-04,1.0,Clothing,10455
88,7018.962901378124,Gold,2023-12-28,0.0,Beauty,19684
58,1866.9358844245392,Silver,2023-10-12,0.0,Pet Supplies,15385
41,12105.824734770911,Platinum,2023-11-22,0.0,Office Products,14273
48,157.30541138663935,Bronze,2023-03-03,1.0,Sports and Outdoors,12321
98,526.1165772610443,Bronze,2023-09-25,1.0,Furniture,18278
54,7744.373395931504,Gold,2023-11-19,,Health & Personal Care,14183
16,12816.147377513567,Platinum,2023-11-19,0.0,Pet Supplies,12868
36,2376.0447752224986,Silver,2023-02-17,1.0,Pet Supplies,19447
11,1407.4302585237522,Silver,2023-08-26,1.0,Grocery,14865
11,8489.60009640466,Gold,2023-06-14,1.0,Electronics,13918
103,8340.798349449584,Gold,2023-12-09,0.0,Clothing,17339
2,11060.13114397048,Platinum,2023-12-14,0.0,Sports and Outdoors,15174
57,4809.441720507338,Silver,2023-01-15,1.0,Home and Kitchen,14589
69,8624.223141822209,Gold,2023-12-26,0.0,Pet Supplies,12193
94,1857.8529026265637,Silver,2023-08-24,1.0,Pet Supplies,18477
12,9723.037222089908,Gold,2023-11-19,0.0,Office Products,16956
38,2601.7138250813364,Silver,2023-09-21,1.0,Grocery,19097
97,588.7504943082813,Bronze,2023-03-09,1.0,Pet Supplies,13318
82,13068.904960590035,Platinum,2023-11-10,0.0,Clothing,12444
30,13071.310395288863,Platinum,2023-11-13,0.0,Electronics,18706
79,10653.258430828831,Platinum,2023-11-07,0.0,Health & Personal Care,16579
4,2938.631144202111,Silver,2023-08-11,1.0,Beauty,19388
103,4557.607486841672,Silver,2023-01-30,1.0,Clothing,12113
48,5883.555439051662,Gold,2023-11-17,0.0,Beauty,10720
53,9984.131170970593,Gold,2023-12-08,0.0,Clothing,14565
62,10977.128211849893,Platinum,2023-12-15,0.0,Clothing,15812
24,8994.741385209372,Gold,2023-05-14,1.0,Furniture,18710
30,11356.31341557934,Platinum,2023-11-01,0.0,Home and Kitchen,15612
38,10509.960480563359,Platinum,2023-11-30,0.0,Grocery,16015
88,8895.474471179823,Gold,2023-12-29,0.0,Sports and Outdoors,18764
17,10950.053359343678,Platinum,,0.0,Beauty,13382
73,5883.781611806311,Gold,2023-11-30,0.0,Clothing,13404
45,12632.476004774304,Platinum,2023-11-10,0.0,Pet Supplies,18414
59,6846.043188359657,Gold,2023-11-14,0.0,Sports and Outdoors,10219
100,3101.772030017814,Silver,2023-12-18,0.0,Home and Kitchen,14706
33,6695.065576967674,Gold,2023-12-15,0.0,Beauty,18933
89,5192.575931843052,Gold,2023-11-16,0.0,Beauty,17515
77,9347.223069468651,Gold,2023-05-01,1.0,Electronics,17666
97,11348.977343286819,Platinum,2023-01-26,1.0,Health & Personal Care,15411
100,9309.207472067717,Gold,,1.0,Beauty,14210
25,12316.707892411247,Platinum,2023-11-18,0.0,Furniture,12041
34,4306.132172631648,Silver,2023-05-21,1.0,Clothing,14549
76,4126.4245939564935,Silver,2023-04-27,,Clothing,14414
65,12118.898990816875,Platinum,2023-11-04,0.0,Health & Personal Care,13282
21,13212.934899723548,Platinum,2023-11-09,0.0,Electronics,12525
35,9339.27376565138,Gold,2023-11-02,0.0,Beauty,19051
61,8279.633837785967,Gold,2023-12-17,0.0,Sports and Outdoors,17455
40,1600.3740942670588,Silver,2023-10-22,0.0,Sports and Outdoors,14249
63,12989.72444525162,Platinum,2023-11-13,0.0,Clothing,16877
5,12678.105956802712,Platinum,2023-11-10,0.0,Grocery,14731
49,4058.1579769437312,Silver,2023-06-08,1.0,Electronics,19424
104,10732.400902042473,Platinum,2023-11-08,0.0,Electronics,12747
61,12113.710550500982,Platinum,2023-11-21,0.0,Beauty,12024
17,5747.261627378382,Gold,2023-01-07,1.0,Beauty,16878
25,6326.010442620901,Gold,2023-12-19,0.0,Beauty,16787
71,8614.769050341381,Gold,2023-11-14,0.0,Beauty,11934
3,252.57904344068643,Bronze,2023-10-16,0.0,Clothing,13113
17,9394.066807182007,Gold,2023-12-20,0.0,Clothing,12770
26,2657.706855864946,Silver,2023-04-27,1.0,Grocery,14688
61,9331.174895178961,Gold,2023-11-06,0.0,Health & Personal Care,10170
40,6779.027324065536,Gold,2023-03-12,1.0,Pet Supplies,16322
54,10796.67318149115,Platinum,2023-10-26,0.0,Grocery,13936
45,9313.465372118655,Gold,2023-02-05,1.0,Health & Personal Care,17970
89,5323.104557082681,Gold,2023-12-20,0.0,Pet Supplies,13747
66,887.4512930921734,Bronze,,1.0,Home and Kitchen,19547
19,12545.894830513358,Platinum,2023-12-09,0.0,Pet Supplies,13776
72,689.0034434297233,Bronze,2023-05-01,1.0,Home and Kitchen,13555
45,4243.450935049186,Silver,2023-12-15,0.0,Office Products,11963
4,11521.853870659383,Platinum,2023-12-21,0.0,Grocery,11447
78,12485.71371374557,Platinum,2023-11-17,0.0,Office Products,14079
54,8752.522998131224,Gold,2023-11-05,0.0,Office Products,10965
75,9674.532052775048,Gold,2023-11-24,0.0,Sports and Outdoors,11423
19,4565.405550130113,Silver,2023-08-15,1.0,Home and Kitchen,18518
51,11237.505482265733,Platinum,2023-12-09,0.0,Clothing,17422
66,2501.98463611469,Silver,2023-04-24,1.0,Home and Kitchen,18974
18,3185.233075236166,Silver,2023-06-16,1.0,Home and Kitchen,11373
11,318.7975203069412,Bronze,2023-08-16,1.0,Clothing,15903
80,1505.8688549127987,Silver,2023-03-09,1.0,Health & Personal Care,13534
104,9972.822531533033,Gold,2023-06-17,1.0,Home and Kitchen,16433
15,9388.240839450977,Gold,2023-12-09,0.0,Electronics,18110
56,12279.850295231125,Platinum,2023-12-24,0.0,Health & Personal Care,13735
87,10248.054775221512,Platinum,2023-11-23,0.0,Electronics,17420
81,3183.884982764668,Silver,2023-02-23,1.0,Pet Supplies,10754
26,8353.604365179952,Gold,2023-10-31,0.0,Sports and Outdoors,14428
31,7481.971414358837,Gold,2023-02-08,1.0,Clothing,13036
32,10989.72855434789,Platinum,2023-12-26,0.0,Furniture,11410
53,5900.141671299538,Gold,2023-11-04,0.0,Office Products,10966
64,11560.076326681588,Platinum,2023-12-23,0.0,Health & Personal Care,11838
104,8738.820257498717,Gold,2023-12-15,0.0,Home and Kitchen,18623
65,2936.255894605556,Silver,,1.0,Grocery,17953
100,7178.564184958993,Gold,2023-12-22,0.0,Clothing,18085
51,11072.174805528999,Platinum,2023-03-24,1.0,Home and Kitchen,18014
96,13146.987836977094,Platinum,2023-11-22,0.0,Home and Kitchen,17633
3,2115.7086427895347,Silver,2023-11-20,0.0,Electronics,12733
52,9990.572284312238,Gold,2023-11-02,0.0,Electronics,18938
85,12831.910465807401,Platinum,2023-08-10,1.0,Furniture,12177
5,2342.0334491848976,Silver,2023-02-09,1.0,Grocery,11784
73,3120.0744470073023,Silver,2023-12-06,0.0,Clothing,19861
69,2434.234852429023,Silver,2023-07-03,1.0,Electronics,17444
72,7552.144980543599,Gold,2023-12-02,,Pet Supplies,11181
91,6279.532024635644,Gold,2023-12-21,0.0,Electronics,12093
23,7556.329883145092,Gold,2023-12-15,0.0,Grocery,19783
97,12867.405292314312,Platinum,2023-12-11,0.0,Clothing,19639
53,7769.7217738052705,Gold,2023-12-18,0.0,Home and Kitchen,19809
62,4633.708223188774,Silver,2023-10-19,0.0,Beauty,10894
45,7179.474072067826,Gold,2023-12-09,0.0,Grocery,10432
34,2777.4451978394673,Silver,2023-10-24,0.0,Office Products,12286
14,4277.062167497736,Silver,2023-07-19,1.0,Grocery,18084
79,6939.549019573133,Gold,2023-11-07,,Furniture,13168
20,3606.6186541848565,Silver,2023-09-24,1.0,Beauty,13083
87,9728.573535730859,Gold,2023-11-02,0.0,Electronics,13385
22,6832.7172453084995,Gold,2023-11-22,0.0,Grocery,12393
52,2588.8760114960655,Silver,2023-05-15,1.0,Pet Supplies,10951
99,10368.750466410716,Platinum,2023-12-27,0.0,Pet Supplies,12678
41,5802.7969016555035,Gold,2023-10-17,0.0,Sports and Outdoors,13606
63,2715.4900395731347,Silver,2023-03-30,1.0,Clothing,18864
39,10754.98986180434,Platinum,2023-11-10,0.0,Home and Kitchen,12724
85,7646.777170343943,Gold,2023-06-29,1.0,Sports and Outdoors,15704
8,9245.26238760452,Gold,2023-06-20,1.0,Health & Personal Care,17377
59,8811.65653930443,Gold,2023-12-22,0.0,Beauty,11396
31,11874.583673775516,Platinum,2023-12-05,0.0,Clothing,16594
79,5986.1620852446395,Gold,2023-11-15,0.0,Grocery,13144
45,7549.740883129792,Gold,2023-11-07,0.0,Furniture,12469
51,10469.77022730426,Platinum,2023-11-09,0.0,Clothing,19529
15,584.3512723120377,Bronze,2023-04-01,1.0,Sports and Outdoors,12238
15,419.4780210127985,Bronze,2023-05-29,1.0,Sports and Outdoors,12388
71,8790.110244204247,Gold,2023-12-18,0.0,Home and Kitchen,18450
50,3963.4523449499525,Silver,2023-07-16,1.0,Furniture,13657
33,1597.195141856507,Silver,2023-11-22,0.0,Furniture,18537
68,11469.721162938737,Platinum,2023-12-20,0.0,Office Products,18111
94,8983.889898144755,Gold,2023-12-06,0.0,Grocery,16649
2,9733.747063367055,Gold,2023-12-25,0.0,Grocery,17586
92,11779.34037414428,Platinum,2023-12-11,0.0,Office Products,11186
26,10073.328570077876,Platinum,2023-12-10,0.0,Office Products,11301
42,5607.276032927169,Gold,2023-12-28,0.0,Grocery,19292
90,2957.7441267468744,Silver,2023-09-15,1.0,Home and Kitchen,19031
33,5222.266738143928,Gold,2023-12-26,0.0,Grocery,17568
14,6073.5774052262395,Gold,2023-07-10,1.0,Furniture,13377
79,9765.172326804184,Gold,2023-12-11,0.0,Electronics,15215
72,12528.563975519695,Platinum,2023-11-21,0.0,Beauty,13691
63,1929.3964210358793,Silver,2023-07-20,1.0,Home and Kitchen,10602
39,8117.750996595071,Gold,2023-10-11,0.0,Electronics,15533
52,9458.795374080535,Gold,2023-12-15,0.0,Sports and Outdoors,11356
100,3867.746089375721,Silver,2023-01-20,1.0,Grocery,17593
43,5266.276134917776,Gold,2023-04-05,1.0,Electronics,11926
11,7011.3194926960205,Gold,2023-12-31,0.0,Sports and Outdoors,17660
83,9520.408388045786,Gold,2023-12-31,,Office Products,16081
30,3608.633657299434,Silver,2023-12-07,0.0,Home and Kitchen,14695
85,9863.020179988629,Gold,2023-12-05,0.0,Home and Kitchen,15476
10,7295.9124992207035,Gold,2023-02-12,1.0,Sports and Outdoors,14796
45,12011.138502513173,Platinum,2023-12-08,0.0,Pet Supplies,17816
56,7031.821461960165,Gold,2023-11-12,0.0,Home and Kitchen,18424
47,3431.7233856270122,Silver,2023-04-14,1.0,Health & Personal Care,16835
73,6147.708631527354,Gold,2023-11-06,0.0,Clothing,13376
99,8726.289304063605,Gold,2023-11-19,0.0,Clothing,15905
99,5756.804005853909,Gold,2023-11-30,0.0,Beauty,14410
96,11646.739772943052,Platinum,2023-11-08,0.0,Sports and Outdoors,13539
39,5177.3125061555365,Gold,2023-01-13,1.0,Office Products,16132
17,7413.279528212012,Gold,2023-11-22,0.0,Health & Personal Care,19332
25,3744.14431942626,Silver,2023-04-30,1.0,Health & Personal Care,10007
26,2187.989528528832,Silver,2023-09-01,1.0,Clothing,14951
60,9776.165695855165,Gold,2023-12-21,0.0,Sports and Outdoors,14782
14,6437.701403684568,Gold,,0.0,Furniture,17104
14,2799.5660640311266,Silver,2023-04-25,1.0,Grocery,13894
38,11310.906311371307,Platinum,2023-11-09,0.0,Clothing,19732
87,12320.235454099517,Platinum,2023-12-29,0.0,Furniture,14077
21,6027.479647992709,Gold,2023-11-23,0.0,Furniture,13702
42,12286.37623897463,Platinum,2023-12-16,0.0,Office Products,15691
96,12935.783318120677,Platinum,2023-12-02,0.0,Beauty,17052
65,10335.874432058865,Platinum,2023-12-04,0.0,Sports and Outdoors,10899
21,10924.244880671138,Platinum,2023-11-26,0.0,Beauty,17942
82,7012.967587814017,Gold,,0.0,Beauty,12499
11,8584.625223503868,Gold,2023-03-18,1.0,Home and Kitchen,11614
51,3515.6170188371348,Silver,2023-05-06,1.0,Beauty,18447
17,8614.886323149338,Gold,2023-12-18,0.0,Beauty,12950
79,11828.778870191223,Platinum,2023-12-21,0.0,Furniture,19473
2,4462.025275982881,Silver,2023-08-26,1.0,Beauty,12935
9,3067.933345732029,Silver,2023-10-21,0.0,Furniture,17609
93,3399.8370092213695,Silver,2023-09-08,1.0,Grocery,10387
89,10906.453602226475,Platinum,2023-02-07,1.0,Electronics,18506
30,1715.5473810370293,Silver,2023-04-06,1.0,Pet Supplies,15317
61,6008.325428838461,Gold,2023-11-12,0.0,Home and Kitchen,10962
76,4047.5149549048133,Silver,2023-11-08,0.0,Beauty,11491
15,1640.4631840901418,Silver,2023-07-02,1.0,Sports and Outdoors,14123
69,3768.184905793925,Silver,2023-07-29,1.0,Pet Supplies,17954
86,8842.034491721608,Gold,2023-03-29,1.0,Home and Kitchen,11341
51,8452.149739222394,Gold,2023-12-25,0.0,Health & Personal Care,18855
9,2565.348832586657,Silver,2023-09-15,1.0,Electronics,17852
14,9781.24880340589,Gold,2023-11-03,0.0,Home and Kitchen,17121
49,7225.422003529351,Gold,2023-11-04,0.0,Health & Personal Care,17928
20,1640.5619258047345,Silver,2023-01-22,1.0,Office Products,14604
11,142.8647751943692,Bronze,2023-12-31,0.0,Pet Supplies,15741
97,4262.270488562542,Silver,2023-10-20,0.0,Beauty,13588
98,10362.559158687078,Platinum,2023-12-14,0.0,Pet Supplies,16102
6,12613.250858164036,Platinum,2023-11-21,0.0,Health & Personal Care,18773
99,1078.1472378774072,Silver,,1.0,Sports and Outdoors,13066
6,13196.997029120179,Platinum,2023-07-19,1.0,Office Products,19494
20,4900.26553500418,Silver,2023-09-12,1.0,Home and Kitchen,11091
14,2849.8083886086656,Silver,2023-06-08,1.0,Clothing,19576
92,8115.209159112718,Gold,2023-11-03,0.0,Health & Personal Care,10463
25,12444.311041722647,Platinum,2023-11-22,0.0,Beauty,13257
17,4913.488512301578,Silver,2023-10-13,0.0,Clothing,18941
93,840.9636566668522,Bronze,2023-12-04,0.0,Clothing,17080
30,11018.710729135983,Platinum,2023-11-07,0.0,Pet Supplies,13840
89,3146.760887028161,Silver,2023-01-04,1.0,Beauty,15634
25,9265.865092597664,Gold,,0.0,Pet Supplies,16381
12,8926.209336756423,Gold,2023-12-20,,Electronics,12063
102,13277.82117207415,Platinum,2023-12-24,0.0,Sports and Outdoors,12098
6,10588.709220723935,Platinum,2023-11-12,0.0,Electronics,10146
33,2532.970709527479,Silver,2023-07-14,1.0,Home and Kitchen,11061
13,11460.225363285006,Platinum,2023-01-21,1.0,Pet Supplies,11045
48,734.0971547783852,Bronze,2023-09-21,1.0,Sports and Outdoors,16390
78,8998.565090556533,Gold,2023-12-22,0.0,Sports and Outdoors,12594
100,7326.690380000149,Gold,2023-12-04,0.0,Health & Personal Care,18658
66,781.7625102890502,Bronze,2023-03-12,1.0,Clothing,14223
76,2673.9121238202106,Silver,2023-03-24,1.0,Grocery,10747
78,8991.923069878952,Gold,,0.0,Pet Supplies,12919
92,2213.3610301399262,Silver,2023-03-29,1.0,Grocery,10094
